Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2021-01-15,BAJAJFINSV,EQ,8747.35,8754.8,8826.2,8610.0,8630.0,8636.1,8703.75,519651,452291423889999.94,52056,92839,17.87,9.98,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,BAJAJFINSV,EQ,8636.1,8636.1,8636.1,8273.7,8350.95,8354.6,8395.89,634436,532665533314999.94,68153,108772,17.14,9.31,7.0,21.01,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,BAJAJFINSV,EQ,8354.6,8400.0,8978.0,8400.0,8919.0,8924.15,8787.14,1379718,1212377780815000.0,105784,141511,10.26,13.04,7.0,21.01,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,BAJAJFINSV,EQ,8924.15,8938.0,9025.0,8838.0,8934.9,8938.25,8950.74,786496,703972504590000.0,72645,144727,18.4,10.83,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-01-21,BAJAJFINSV,EQ,8938.25,8995.0,9388.85,8950.5,9063.0,9052.8,9241.6,1645377,1520592220590000.0,142622,216816,13.18,11.54,7.0,21.01,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,BAJAJFINSV,EQ,9052.8,9070.0,9213.5,8965.2,9053.0,9071.0,9086.37,839822,763093114370000.0,76812,152258,18.13,10.93,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-01-25,BAJAJFINSV,EQ,9071.0,9144.0,9344.9,9080.0,9190.0,9198.9,9216.03,781122,719884547080000.0,77012,152519,19.53,10.14,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-01-27,BAJAJFINSV,EQ,9198.9,9165.0,9284.95,9042.05,9099.2,9126.1,9160.23,616631,564848190390000.0,68285,102618,16.64,9.03,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,100,0,0,0,0,0
2021-01-28,BAJAJFINSV,EQ,9126.1,9020.0,9215.25,8817.6,8932.0,8955.3,9000.96,844736,760343336200000.0,80479,145264,17.2,10.5,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-01-29,BAJAJFINSV,EQ,8955.3,9041.95,9109.35,8675.55,8718.6,8722.75,8932.07,727352,649676246645000.0,69955,152688,20.99,10.4,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,BAJAJFINSV,EQ,8722.75,8750.0,9838.9,8638.0,9740.0,9721.8,9296.79,1565365,1455286224200000.0,144130,252052,16.1,10.86,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,BAJAJFINSV,EQ,9721.8,9827.7,9990.0,9315.0,9505.0,9476.3,9613.89,1394390,1340550592500000.0,135676,163563,11.73,10.28,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,BAJAJFINSV,EQ,9476.3,9561.6,9639.3,9435.35,9555.0,9536.05,9512.18,623545,593127160390000.0,55559,51906,8.32,11.22,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,-100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0
2021-02-04,BAJAJFINSV,EQ,9536.05,9510.0,9760.0,9470.5,9708.0,9700.55,9643.02,604727,583139565795000.0,71531,62948,10.41,8.45,7.0,21.01,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,BAJAJFINSV,EQ,9700.55,9780.0,9940.0,9556.0,9705.0,9722.2,9738.97,922561,898479061345000.1,82958,139894,15.16,11.12,7.0,21.01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-02-08,BAJAJFINSV,EQ,9722.2,9750.0,10110.0,9738.05,10068.45,10021.05,9971.57,985855,983052255004999.9,109921,188933,19.16,8.97,7.0,21.01,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-09,BAJAJFINSV,EQ,10021.05,10067.0,10068.0,9882.0,9918.0,9941.65,9964.07,512607,510765228425000.0,61486,57478,11.21,8.34,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-10,BAJAJFINSV,EQ,9941.65,9901.0,10354.6,9901.0,10215.15,10227.95,10205.7,1430667,1460096100560000.0,145592,107999,7.55,9.83,7.0,21.01,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-11,BAJAJFINSV,EQ,10227.95,10105.0,10417.9,10105.0,10220.05,10216.65,10275.38,715538,735242835425000.0,58617,74057,10.35,12.21,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,BAJAJFINSV,EQ,10216.65,10250.0,10331.15,10168.0,10300.0,10278.8,10236.92,380285,389294764840000.0,38095,50942,13.4,9.98,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0
2021-02-15,BAJAJFINSV,EQ,10278.8,10330.2,10579.0,10280.0,10500.0,10537.7,10486.75,536406,562515744110000.06,50301,69675,12.99,10.66,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2021-02-16,BAJAJFINSV,EQ,10537.7,10500.0,10532.0,10361.0,10460.0,10460.6,10444.86,358604,374556981670000.0,34451,30458,8.49,10.41,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-17,BAJAJFINSV,EQ,10460.6,10420.0,10498.8,10112.2,10195.0,10185.65,10260.6,582259,597432493655000.0,57424,136169,23.39,10.14,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,BAJAJFINSV,EQ,10185.65,10310.0,10310.0,10135.0,10200.0,10198.95,10195.83,434741,443254575700000.0,48601,121320,27.91,8.95,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-19,BAJAJFINSV,EQ,10198.95,10150.0,10427.65,10140.0,10237.95,10250.45,10247.84,623343,638792211935000.0,52771,91996,14.76,11.81,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,BAJAJFINSV,EQ,10250.45,10230.0,10249.2,9960.15,9984.8,10000.6,10104.83,426908,431383113205000.0,44332,110746,25.94,9.63,7.0,21.01,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,BAJAJFINSV,EQ,10000.6,10051.0,10195.0,9929.15,10008.6,10008.65,10057.26,342610,344571810600000.0,44432,42992,12.55,7.71,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-02-24,BAJAJFINSV,EQ,10008.65,10030.0,10250.0,10015.05,10201.0,10199.6,10124.46,269976,273336236665000.0,32454,52443,19.43,8.32,7.0,21.01,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,BAJAJFINSV,EQ,10199.6,10340.0,10377.95,10131.6,10234.0,10264.45,10275.0,354802,364559140275000.0,39408,69338,19.54,9.0,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,BAJAJFINSV,EQ,10264.45,9950.0,10114.7,9600.0,9640.25,9648.6,9798.54,846505,829451038725000.0,90830,230342,27.21,9.32,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,BAJAJFINSV,EQ,9648.6,9799.0,9848.6,9613.7,9790.0,9774.05,9747.07,322437,314281557265000.0,37510,38129,11.83,8.6,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-03-02,BAJAJFINSV,EQ,9774.05,9850.0,9965.0,9779.1,9870.55,9877.0,9867.15,297001,293055208545000.0,36024,55833,18.8,8.24,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-03-03,BAJAJFINSV,EQ,9877.0,9926.4,10444.95,9890.4,10369.3,10395.6,10216.33,504122,515027453155000.0,62530,115205,22.85,8.06,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-04,BAJAJFINSV,EQ,10395.6,10150.0,10280.0,10077.75,10148.0,10129.95,10172.36,412117,419220145665000.0,50455,79987,19.41,8.17,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,-100,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-03-05,BAJAJFINSV,EQ,10129.95,10080.0,10161.0,9900.05,9974.0,9958.1,10004.76,355126,355295073290000.0,42614,55493,15.63,8.33,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08,BAJAJFINSV,EQ,9958.1,9970.0,10045.65,9805.3,9826.9,9839.1,9909.09,264007,261606964680000.03,32410,41401,15.68,8.15,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-09,BAJAJFINSV,EQ,9839.1,10000.0,10119.95,9860.2,9975.0,9969.15,9967.52,306211,305216277955000.0,35492,29726,9.71,8.63,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-03-10,BAJAJFINSV,EQ,9969.15,10025.0,10094.7,9930.6,9975.0,9991.45,10005.19,244632,244759007300000.0,34882,53398,21.83,7.01,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0
2021-03-12,BAJAJFINSV,EQ,9991.45,10081.5,10216.1,9840.0,9930.0,9934.1,10050.34,454348,456635087455000.0,54691,83862,18.46,8.31,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-15,BAJAJFINSV,EQ,9934.1,9969.0,9969.0,9544.0,9664.95,9689.05,9684.5,545919,528695475930000.0,65392,130482,23.9,8.35,7.0,21.01,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-16,BAJAJFINSV,EQ,9689.05,9725.0,9785.65,9585.0,9637.0,9613.3,9676.78,370587,358608842725000.0,42539,81902,22.1,8.71,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-03-17,BAJAJFINSV,EQ,9613.3,9630.0,9661.85,9480.05,9491.0,9525.1,9561.23,293449,280573237315000.0,39091,67204,22.9,7.51,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-03-18,BAJAJFINSV,EQ,9525.1,9600.0,9735.0,9372.0,9445.0,9430.15,9562.74,401135,383594772145000.0,53374,71945,17.94,7.52,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-19,BAJAJFINSV,EQ,9430.15,9350.0,9489.85,9211.6,9420.9,9440.65,9347.81,488126,456290899625000.0,60463,108305,22.19,8.07,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,BAJAJFINSV,EQ,9440.65,9450.0,9494.95,9312.05,9402.0,9405.85,9409.56,293029,275727360580000.03,39865,55008,18.77,7.35,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-03-23,BAJAJFINSV,EQ,9405.85,9424.0,9506.6,9382.3,9425.0,9405.2,9432.0,296483,279642765555000.03,38646,78535,26.49,7.67,7.0,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-03-24,BAJAJFINSV,EQ,9405.2,9370.0,9378.65,9179.25,9225.0,9202.05,9276.02,335439,311153875865000.0,42014,89827,26.78,7.98,7.0,21.01,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
