Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2021-01-15,EICHERMOT,EQ,2886.6,2880.0,2902.0,2840.0,2848.0,2857.3,2871.4,882692,253455902325000.0,60408,86097,9.75,14.61,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-01-18,EICHERMOT,EQ,2857.3,2853.15,2912.7,2815.0,2860.0,2873.0,2862.38,2069601,592398732110000.0,123342,481998,23.29,16.78,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-01-19,EICHERMOT,EQ,2873.0,2888.0,2929.0,2852.15,2880.0,2883.5,2894.98,1447495,419047366875000.0,89866,247685,17.11,16.11,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-01-20,EICHERMOT,EQ,2883.5,2887.2,2964.0,2865.65,2875.0,2881.55,2918.09,1760329,513679444939999.94,106226,300734,17.08,16.57,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-01-21,EICHERMOT,EQ,2881.55,2896.0,2955.0,2895.05,2931.0,2926.6,2933.37,1451173,425682108540000.0,79321,354181,24.41,18.29,16.35,35.97,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,EICHERMOT,EQ,2926.6,2900.0,3037.0,2900.0,2978.75,2972.6,2995.62,3091826,926193376710000.0,176276,374735,12.12,17.54,16.35,35.97,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,EICHERMOT,EQ,2972.6,3029.95,3029.95,2851.25,2883.3,2869.55,2903.82,2024082,587756411010000.0,114899,765934,37.84,17.62,16.35,35.97,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,EICHERMOT,EQ,2869.55,2899.95,2932.4,2769.5,2784.5,2789.9,2827.64,2574644,728015926475000.0,152884,697245,27.08,16.84,16.35,35.97,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,EICHERMOT,EQ,2789.9,2780.0,2830.0,2738.35,2786.7,2798.45,2793.49,1430646,399649006470000.0,96332,190840,13.34,14.85,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-01-29,EICHERMOT,EQ,2798.45,2812.4,2870.45,2726.95,2758.3,2744.3,2800.07,2067268,578850054850000.0,112364,392433,18.98,18.4,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,EICHERMOT,EQ,2744.3,2777.0,2868.05,2698.55,2853.0,2842.85,2781.99,1847361,513933584460000.06,84346,259898,14.07,21.9,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,EICHERMOT,EQ,2842.85,2920.0,2920.0,2825.95,2906.0,2904.85,2874.14,2125895,611011975115000.0,88608,254870,11.99,23.99,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,EICHERMOT,EQ,2904.85,2904.85,2948.0,2871.5,2919.0,2916.9,2918.26,1349528,393827052790000.0,50470,139144,10.31,26.74,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-02-04,EICHERMOT,EQ,2916.9,2900.9,2978.0,2881.0,2965.0,2963.45,2943.54,1259327,370687317550000.0,69432,341482,27.12,18.14,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,EICHERMOT,EQ,2963.45,2973.2,2990.0,2905.2,2930.0,2932.15,2939.82,915838,269240052905000.03,47243,218871,23.9,19.39,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-08,EICHERMOT,EQ,2932.15,2934.0,2986.0,2930.1,2973.9,2970.4,2964.0,654484,193988894135000.0,38932,82366,12.58,16.81,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2021-02-09,EICHERMOT,EQ,2970.4,2993.3,3018.0,2936.05,2948.0,2947.65,2974.39,1127584,335387876450000.0,52872,205207,18.2,21.33,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-10,EICHERMOT,EQ,2947.65,2968.0,2998.9,2876.75,2893.0,2901.3,2941.99,2160932,635744786440000.0,116131,317173,14.68,18.61,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-11,EICHERMOT,EQ,2901.3,2750.0,2840.8,2701.3,2827.0,2818.15,2793.35,4481414,1251814136490000.0,205410,534913,11.94,21.82,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,EICHERMOT,EQ,2818.15,2840.0,2844.95,2765.05,2774.0,2781.25,2799.23,1907486,533948950864999.94,78061,253443,13.29,24.44,16.35,35.97,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-15,EICHERMOT,EQ,2781.25,2796.0,2809.0,2758.0,2767.0,2770.05,2779.36,930514,258623659305000.03,58166,134293,14.43,16.0,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-16,EICHERMOT,EQ,2770.05,2770.05,2778.15,2692.45,2725.0,2726.95,2735.66,1525475,417317337590000.0,88810,571906,37.49,17.18,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-17,EICHERMOT,EQ,2726.95,2720.0,2745.0,2685.0,2688.9,2695.5,2711.81,1491311,404415548910000.0,78348,478747,32.1,19.03,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,EICHERMOT,EQ,2695.5,2701.1,2712.85,2625.0,2647.95,2650.2,2662.74,1924724,512504160850000.0,104699,692883,36.0,18.38,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-19,EICHERMOT,EQ,2650.2,2646.0,2647.9,2570.0,2582.0,2584.65,2597.21,1588781,412639969460000.0,85618,574705,36.17,18.56,16.35,35.97,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,EICHERMOT,EQ,2584.65,2586.1,2590.0,2450.0,2450.75,2482.35,2515.65,2189183,550722628955000.0,142388,998672,45.62,15.37,16.35,35.97,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,EICHERMOT,EQ,2482.35,2476.2,2549.8,2456.85,2525.0,2514.7,2508.47,1821712,456970789810000.06,114617,451490,24.78,15.89,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,EICHERMOT,EQ,2514.7,2530.05,2562.85,2500.0,2530.0,2535.8,2531.62,807585,204450226590000.0,47898,201264,24.92,16.86,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-02-25,EICHERMOT,EQ,2535.8,2555.0,2558.95,2517.0,2554.0,2551.95,2539.68,1351820,343319069635000.0,72691,479735,35.49,18.6,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,100,0,0,0,0,0,0
2021-02-26,EICHERMOT,EQ,2551.95,2529.7,2546.95,2463.65,2480.0,2498.6,2504.83,1695786,424765932295000.0,100346,603225,35.57,16.9,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,EICHERMOT,EQ,2498.6,2523.0,2568.9,2497.15,2559.75,2556.15,2542.87,1283153,326289704000000.0,92458,376529,29.34,13.88,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-02,EICHERMOT,EQ,2556.15,2584.0,2611.0,2530.0,2605.0,2602.3,2569.61,1491743,383319491545000.0,88521,406566,27.25,16.85,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,EICHERMOT,EQ,2602.3,2605.8,2626.85,2571.1,2601.0,2599.05,2591.21,1289447,334122447615000.0,76360,534486,41.45,16.89,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-03-04,EICHERMOT,EQ,2599.05,2570.0,2633.0,2545.35,2590.0,2593.2,2597.88,1353079,351513864475000.0,66407,492007,36.36,20.38,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-03-05,EICHERMOT,EQ,2593.2,2584.8,2634.2,2560.0,2586.0,2587.75,2604.09,1153319,300334303085000.0,68344,322451,27.96,16.88,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-03-08,EICHERMOT,EQ,2587.75,2600.65,2643.5,2575.0,2588.0,2583.25,2614.15,950809,248555769485000.0,59050,204931,21.55,16.1,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-09,EICHERMOT,EQ,2583.25,2600.0,2618.3,2573.0,2590.7,2592.7,2596.52,677915,176021849495000.0,53866,215301,31.76,12.59,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0
2021-03-10,EICHERMOT,EQ,2592.7,2600.0,2687.0,2598.9,2673.0,2672.3,2665.4,1977416,527059607275000.0,124292,369250,18.67,15.91,16.35,35.97,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-12,EICHERMOT,EQ,2672.3,2699.0,2699.0,2610.1,2634.4,2637.5,2651.91,1109504,294230795550000.0,80984,381735,34.41,13.7,16.35,35.97,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-15,EICHERMOT,EQ,2637.5,2640.6,2683.5,2585.35,2675.0,2669.45,2634.76,839738,221250678260000.0,53495,145992,17.39,15.7,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-16,EICHERMOT,EQ,2669.45,2652.45,2683.65,2626.0,2654.2,2661.05,2657.72,654829,174035407025000.0,53466,189443,28.93,12.25,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-03-17,EICHERMOT,EQ,2661.05,2667.05,2668.9,2630.05,2660.0,2647.0,2647.89,634977,168134990155000.0,35181,258853,40.77,18.05,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-03-18,EICHERMOT,EQ,2647.0,2665.6,2697.95,2635.0,2660.1,2664.6,2663.35,1066000,283913429790000.0,64600,373795,35.07,16.5,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-03-19,EICHERMOT,EQ,2664.6,2644.0,2677.0,2600.0,2663.2,2661.5,2642.48,906718,239598029319999.97,61847,316050,34.86,14.66,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,EICHERMOT,EQ,2661.5,2668.0,2692.0,2650.05,2679.0,2676.85,2669.13,694227,185297916600000.0,44737,271604,39.12,15.52,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0
2021-03-23,EICHERMOT,EQ,2676.85,2679.0,2716.0,2666.0,2705.0,2702.75,2699.67,1134037,306152910660000.0,69317,440992,38.89,16.36,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2021-03-24,EICHERMOT,EQ,2702.75,2700.0,2706.5,2629.05,2629.05,2660.65,2685.57,1149589,308730711880000.0,55197,611502,53.19,20.83,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-25,EICHERMOT,EQ,2660.65,2635.55,2651.0,2548.0,2585.0,2580.45,2593.41,1119611,290361519650000.0,82693,306599,27.38,13.54,16.35,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
